assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
12,5,7,2,"[""\n\n""]",1,0,34230,0,08193-12288,8895,25,False,ok,0.12665684830633284,1290,0,10185,7,7befd7d4-2a48-4dda-891f-c072fb008517
11,4,7,2,"[""\n\n""]",1,0,35089,1,08193-12288,9067,23,False,ok,0.13300822336966917,1391,0,10458,7,d6b5b216-b709-4e85-b81f-f6be452dfa04
12,6,6,2,"[""\n\n""]",1,0,34811,2,08193-12288,8873,25,False,ok,0.1287313432835821,1311,1,10184,6,f486ca66-27fb-4010-a546-51b133876993
13,7,6,4,"[""\n\n"", ""\n\n""]",2,0,36155,3,08193-12288,8816,27,False,ok,0.17119488577606468,1821,1,10637,6,d7aa4655-0f90-46f2-b4c8-94d39968dc80
13,3,10,2,"[""\n\n""]",1,0,35209,4,08193-12288,9699,27,False,ok,0.09726358897989576,1045,2,10744,10,19eb81ce-5c4e-4a80-a552-25c3e74d7d77
14,4,10,2,"[""\n\n""]",1,0,35957,5,08193-12288,9745,29,False,ok,0.11746060496286904,1297,2,11042,10,d6ec9efe-e8da-467f-b7af-8521c514764a
14,4,10,4,"[""\n\n"", ""\n\n""]",2,0,36354,6,08193-12288,9508,29,False,ok,0.14024776200379782,1551,3,11059,10,2c83ab89-a4d3-4044-83a7-7adc07eb37a6
15,5,10,2,"[""\n\n""]",1,0,37053,7,08193-12288,9478,31,False,ok,0.1459722472517571,1620,3,11098,10,8e8613a4-93be-445f-8d4f-2b1f172043e9
15,4,11,2,"[""\n\n""]",1,0,37793,8,08193-12288,9763,31,False,ok,0.15317894006418598,1766,4,11529,11,457f648f-90e1-4d09-aa71-217952934d38
15,4,11,0,[],0,0,37473,9,08193-12288,9788,31,False,ok,0.13579374889634468,1538,4,11326,11,6a5b15d0-8ae4-4a83-a29b-897a3b5b0c28
14,6,8,4,"[""\n\n"", ""\n\n""]",2,0,37626,10,08193-12288,9516,29,False,ok,0.1642367820129984,1870,6,11386,8,873a0d3d-5e5b-46af-9599-6e48aff06eb3
