assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
12,5,7,2,"[""\n\n""]",1,0,34249,0,08193-12288,8895,25,False,ok,0.12699970556482482,1294,0,10189,7,7befd7d4-2a48-4dda-891f-c072fb008517
11,4,7,2,"[""\n\n""]",1,0,35108,1,08193-12288,9067,23,False,ok,0.13333970560122346,1395,0,10462,7,d6b5b216-b709-4e85-b81f-f6be452dfa04
12,6,6,2,"[""\n\n""]",1,0,34830,2,08193-12288,8873,25,False,ok,0.12907341970946212,1315,1,10188,6,f486ca66-27fb-4010-a546-51b133876993
13,7,6,4,"[""\n\n"", ""\n\n""]",2,0,36174,3,08193-12288,8816,27,False,ok,0.1715064373649093,1825,1,10641,6,d7aa4655-0f90-46f2-b4c8-94d39968dc80
13,3,10,2,"[""\n\n""]",1,0,35228,4,08193-12288,9699,27,False,ok,0.0975995534052847,1049,2,10748,10,19eb81ce-5c4e-4a80-a552-25c3e74d7d77
14,4,10,2,"[""\n\n""]",1,0,35976,5,08193-12288,9745,29,False,ok,0.11778019192467862,1301,2,11046,10,d6ec9efe-e8da-467f-b7af-8521c514764a
14,4,10,4,"[""\n\n"", ""\n\n""]",2,0,36373,6,08193-12288,9508,29,False,ok,0.1405586188194884,1555,3,11063,10,2c83ab89-a4d3-4044-83a7-7adc07eb37a6
15,5,10,2,"[""\n\n""]",1,0,37072,7,08193-12288,9478,31,False,ok,0.14627994955863807,1624,3,11102,10,8e8613a4-93be-445f-8d4f-2b1f172043e9
15,4,11,2,"[""\n\n""]",1,0,37812,8,08193-12288,9763,31,False,ok,0.15347264371802652,1770,4,11533,11,457f648f-90e1-4d09-aa71-217952934d38
15,4,11,0,[],0,0,37492,9,08193-12288,9788,31,False,ok,0.13609885260370697,1542,4,11330,11,6a5b15d0-8ae4-4a83-a29b-897a3b5b0c28
14,6,8,4,"[""\n\n"", ""\n\n""]",2,0,37645,10,08193-12288,9516,29,False,ok,0.16453028972783143,1874,6,11390,8,873a0d3d-5e5b-46af-9599-6e48aff06eb3
14,6,8,4,"[""\n\n"", ""\n\n""]",2,0,37593,11,08193-12288,9462,29,False,ok,0.1716711897049812,1961,6,11423,8,a60214e2-c193-4100-9572-ac1500df16a3
10,4,6,2,"[""\n\n""]",1,0,32620,12,08193-12288,8408,21,False,ok,0.13032685146876294,1260,7,9668,6,d46b0b92-bcfb-431c-b61f-a65c7b332d9d
14,6,8,4,"[""\n\n"", ""\n\n""]",2,0,37592,13,08193-12288,9511,29,False,ok,0.16158321579689705,1833,7,11344,8,cd17b4e0-576a-41eb-9ca9-8bc5500cf55e
13,5,8,4,"[""\n\n"", ""\n\n""]",2,0,37009,14,08193-12288,9455,27,False,ok,0.16238483345145288,1833,8,11288,8,9ed8e0c8-9e4e-4588-87c7-25fc7bfd9d3f
15,7,8,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,38629,15,08193-12288,9529,31,False,ok,0.18262137587922456,2129,8,11658,8,6b01ed45-c736-42eb-9ab5-2c3692d4b763
9,4,5,2,"[""\n\n""]",1,0,26619,16,04097-08192,6111,19,False,ok,0.13478691774033696,952,10,7063,5,4ff00782-ead2-4fa3-90ca-1edbbb4b6c60
9,4,5,0,[],0,0,26939,17,04097-08192,6117,19,False,ok,0.14662388392857142,1051,10,7168,5,7500ed98-b4ea-4f8b-b4a9-33f790213681
11,5,6,0,[],0,0,29753,18,08193-12288,7078,23,False,ok,0.1400801846677196,1153,11,8231,6,44d43987-f283-401d-8008-acdbf90d654f
12,6,6,4,"[""\n\n"", ""\n\n""]",2,0,30786,19,08193-12288,7106,25,False,ok,0.17868700878409616,1546,11,8652,6,8e275b11-ef29-4db8-b2ec-8e0be66163f4
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,29568,20,04097-08192,6931,21,False,ok,0.1503003555228638,1226,13,8157,5,dfbe8734-dae2-4889-b777-06d8c6a66f52
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,29303,21,04097-08192,6892,21,False,ok,0.14000499126528576,1122,13,8014,5,c1bebb85-7e5b-42bc-ada3-877c3f57090c
