domain,task_id,trial,seed,duration_seconds,termination_reason,env_reward,assistant_messages,user_messages,tool_messages,tool_calls,tool_errors,agent_input_tokens,agent_output_tokens,user_input_tokens,user_output_tokens,agent_cost,user_cost
retail,0,0,626729,44.828,user_stop,1.0,11,6,6,6,0,70464,3362,6242,1145,0.0021835744000000003,0.0005798239999999999
retail,1,0,626729,49.954,user_stop,1.0,10,6,6,6,0,64202,4140,6652,943,0.0023150064000000002,0.0005279792
retail,2,0,626729,45.276,user_stop,1.0,10,5,10,10,0,62449,3701,4334,1364,0.002403268,0.0005847632
retail,3,0,626729,40.379,user_stop,1.0,9,5,10,10,0,58091,3333,4469,1096,0.0022345176000000003,0.0004759384
retail,4,0,626729,43.04,user_stop,1.0,13,7,11,11,0,85169,3562,5738,705,0.0025947992,0.00038606400000000004
retail,5,0,626729,64.338,user_stop,0.0,13,7,9,9,0,95915,5190,8510,1948,0.0030272200000000006,0.0008411984000000001
retail,6,0,626729,50.599,user_stop,1.0,11,6,8,8,0,72676,3687,6586,1765,0.0024086384000000004,0.0007488992000000001
retail,7,0,626729,56.383,user_stop,1.0,13,8,8,8,0,89601,4317,8879,1569,0.0027417768000000003,0.000716492
retail,8,0,626729,33.753,user_stop,0.0,11,7,6,6,0,60638,2300,5234,792,0.0015993936,0.0003925488
retail,9,0,626729,48.267,user_stop,1.0,13,8,8,8,0,85609,4280,8701,982,0.0026642615999999996,0.0005798968
retail,10,0,626729,29.168,user_stop,1.0,9,5,5,5,0,45135,2228,3354,696,0.001147412,0.0003307696
retail,11,0,626729,31.128,user_stop,1.0,10,6,6,6,0,54452,2134,4882,608,0.0014420224,0.00032687199999999997
retail,12,0,626729,36.064,user_stop,1.0,10,6,5,5,0,54265,2097,5523,1194,0.0012298664000000002,0.0005455688
retail,13,0,626729,37.648,user_stop,1.0,11,7,5,5,0,60543,1965,6520,1318,0.0013518008,0.0005618144
retail,14,0,626729,30.61,user_stop,1.0,10,5,6,6,0,55162,2465,3570,465,0.0013706784,0.00027876800000000004
retail,15,0,626729,35.411,user_stop,1.0,10,5,7,7,0,59927,2930,3685,635,0.0019748008,0.00034246799999999996
retail,16,0,626729,46.486,user_stop,1.0,10,6,8,8,0,57911,3722,5628,981,0.0021074984000000003,0.0005181904000000001
retail,17,0,626729,22.588,user_stop,1.0,8,5,4,4,0,39334,1043,3188,504,0.000793744,0.0002713312
retail,18,0,626729,47.259,user_stop,1.0,13,8,6,6,0,78468,3370,7755,978,0.0020595008000000004,0.0005692680000000002
retail,19,0,626729,44.751,user_stop,1.0,10,5,7,7,0,61613,3812,4134,1059,0.0022646232,0.0004889248
retail,20,0,626729,51.327,user_stop,1.0,11,5,10,10,0,74001,5437,4261,779,0.0033475624000000002,0.00041074320000000005
retail,21,0,626729,86.364,user_stop,1.0,14,7,11,11,0,104102,8247,7645,1834,0.003958102400000001,0.0008286712000000001
retail,22,0,626729,58.293,user_stop,0.0,16,10,8,8,0,99369,3253,8941,1558,0.0021254632000000002,0.0007045304000000001
retail,23,0,626729,55.924,user_stop,1.0,10,5,12,12,0,66752,5920,4065,726,0.0033460224000000003,0.00038602480000000006
retail,24,0,626729,23.551,user_stop,1.0,7,4,6,6,0,35374,1238,2729,624,0.001084216,0.00031091760000000006
retail,25,0,626729,33.792,user_stop,1.0,9,5,7,7,0,48960,2159,3655,998,0.0014352912,0.0004223464
retail,26,0,626729,26.459,user_stop,1.0,8,4,7,7,0,44390,1771,3137,624,0.0013717536000000003,0.00031535280000000003
retail,27,0,626729,50.229,user_stop,1.0,11,6,9,9,0,72799,4193,5583,784,0.0026377847999999996,0.0004391688000000001
retail,28,0,626729,50.256,user_stop,1.0,8,4,9,9,0,46383,5238,3611,801,0.0024634792000000003,0.00037858800000000007
retail,29,0,626729,64.049,user_stop,1.0,12,7,12,12,0,83003,5414,7878,2145,0.0031613512000000002,0.000913248
retail,30,0,626729,51.61,user_stop,1.0,14,8,12,12,0,99802,4771,8727,964,0.0028569855999999996,0.0005433736
retail,31,0,626729,57.76,user_stop,1.0,16,11,9,9,0,104090,3150,11690,2389,0.002195592,0.0009532767999999999
retail,32,0,626729,64.451,user_stop,1.0,17,11,10,10,0,115027,3454,12583,2938,0.002319156,0.0011442088000000001
retail,33,0,626729,37.439,user_stop,1.0,9,5,6,6,0,51106,2155,5147,1444,0.0014360640000000001,0.000598052
retail,34,0,626729,42.937,user_stop,1.0,10,6,6,6,0,60069,2427,6899,1648,0.00162554,0.0007072744000000001
retail,35,0,626729,48.396,user_stop,1.0,12,6,8,8,1,74523,4747,6109,876,0.002630348,0.0005210072
retail,36,0,626729,46.691,user_stop,1.0,13,7,10,10,1,80968,4536,6593,718,0.0029818431999999997,0.00045671920000000003
retail,37,0,626729,46.539,user_stop,1.0,11,6,9,9,0,69987,5397,5598,540,0.0031080728,0.00035538720000000005
retail,38,0,626729,47.881,user_stop,0.0,13,7,10,10,1,85278,5290,6834,540,0.0031641456000000004,0.0003879344
retail,39,0,626729,49.124,user_stop,1.0,11,5,6,6,0,67449,3586,4934,1381,0.0019471256,0.0005857152000000001
retail,40,0,626729,25.761,user_stop,1.0,9,5,4,4,0,45065,1662,4009,929,0.0009440088,0.00043502480000000006
retail,41,0,626729,64.197,user_stop,1.0,11,6,9,9,0,68866,6494,6383,1230,0.0031178,0.0006058024
retail,42,0,626729,65.7,user_stop,1.0,11,6,9,9,0,69002,6193,5713,1192,0.0029998752000000004,0.0005540472
retail,43,0,626729,68.889,user_stop,1.0,13,8,6,6,0,86827,3080,11739,2650,0.0020597416,0.0011385864000000002
retail,44,0,626729,37.965,user_stop,1.0,10,6,5,5,0,52352,2603,4611,789,0.001384712,0.00040985840000000006
retail,45,0,626729,40.522,user_stop,1.0,11,6,5,5,0,62487,3372,5407,668,0.0018598664000000003,0.00039961040000000003
retail,46,0,626729,39.848,user_stop,1.0,10,6,6,6,0,54662,2924,5286,1254,0.0016048144000000001,0.0005818736
retail,47,0,626729,35.05,user_stop,1.0,9,5,6,6,0,49054,2551,4488,1044,0.0014704032000000002,0.00048160000000000005
retail,48,0,626729,25.486,user_stop,1.0,9,5,6,6,0,49178,1678,3672,775,0.001296008,0.000379848
retail,49,0,626729,39.691,user_stop,1.0,13,4,9,9,0,84659,3416,3468,823,0.0023244648,0.00041741280000000004
retail,50,0,626729,25.562,user_stop,1.0,8,4,4,4,0,39754,1574,2641,840,0.0008782928000000001,0.00035907760000000006
